Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Freyr energy,Undisclosed,2000000,Hyderabad,"Freyr energy is a company that provides full service solar provider based in hyderabad, india.",Renewable energy,2021,2014,Impact partners
Dealshare,Undisclosed,9000000,Jaipur,Dealshare is a social commerce startup,E-commerce,2021,2018,Tiger global management
Tessolve,Undisclosed,40000000,Bangalore,"Tessolve semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",Electronics,2021,1993,Novo tellus capital
Smart joules,Undisclosed,49000000,New delhi,Smart joules is an energy management company.,Renewable energy,2021,2014,Raintree family office
Orai,Series B,400000,Bangalore,Ai-powered robotic virtual assistant (rva) for amplifying performance of poor quality leads and bring more mql and sql,It startup,2021,2020,Inflection point ventures
Ixambee,Seed,300000,New delhi,Ixambee is to provide best online learning experience for preparation of competitive exams.,Edtech,2021,2016,Mumbai angels
Coinswitch kuber,Series B,25000000,Bangalore,Coinswitch kuber is an india-based cryptocurrency exchange platform.,Fintech,2021,2017,Paradigm
Razorpay,Series D,160000000,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",Fintech,2021,2014,Matrix partners india
Uable,Seed,0,Bangalore,Uable offers role based programmes to empower children to explore different domains.,Edtech,2021,2020,Chiratae ventures
Zfw hospitality,Seed,150000,New delhi,Creating a sustainable and scalable cloud kitchen network.,Food and Beverages,2021,2015,Mumbai angels network
Optimized electrotech,Series B,1800000,Ahmadabad,"Long distance, multispectral surveillance equipment for defense, aerospace, critical asset protection",Aeorspace,2021,2017,Gvfl
Northern arc,Undisclosed,5000000,Chennai,Northern arc capital is a non-banking finance company that provides borrows with access to debt investors.,Fintech,2021,2008,Kotak mahindra bank
Chara,Seed,850000,Bangalore,"A scalable, cloud-controlled, and rare earth mineral free hardware and software platform for the switched reluctance motor and other magnet free motor technologies.",Deep tech,2021,2019,Kalaari capital
Sirona hygiene,Series A,3000000,New delhi,Solving unaddressed intimate & menstrual hygiene issues with our award-winning innovative & modern products.,Healthtech,2021,2015,Nb ventures
Pristyn care,Series D,53000000,Gurugram,Pristyn care is health care startup that is disrupting elective surgery procedures,Healthtech,2021,2018,Sequoia capital india
Trulymadly,Series B,2000000,New delhi,Trulymadly is a dating platform that uses a match making algorithm.,Dating,2021,2013,Gaurav munjal
Vidyakul,Seed,500000,,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,Edtech,2021,2018,Jito angel network
Jambox games,Seed,1100000,Bangalore,"A competitive game publishing platform to help developers in india and southeast asia to publish their games, and compete with the global incumbents.",Gaming,2021,2021,
Miko,Undisclosed,6000000,Mumbai,"Miko is an advanced robotics startup focusing on robotics, ai & iot.",Robotics,2021,2015,Chiratae ventures
Superk,Seed,800000,"Small towns, andhra pradesh",Superk is a full-stack solution to empower small format retail stores in india.,Retail,2021,2019,Strive vc
Tagz foods,Series B,500000,Bangalore,Tagz foods is a supplier of snacks and food products.,Food and Beverages,2021,2019,Venture catalysts
Fuel buddy,Undisclosed,1000000,New delhi,Fuelbuddy is the first legal private company in india to have permissions in place to deliver fuel. fueldelivery app.,Oil and energy,2021,2017,Jaipuria family office
M1xchange,Undisclosed,10000000,Gurugram,M1 an online exchange for treds set up under the approval rbi to facilitate discounting of invoices on a pan india basis.,Fintech,2021,2017,Amazon
Spintly,Undisclosed,500000,Goa,Wireless cloud based access control platform,Tech startup,2021,2017,Riso capital
Ef polymer,Undisclosed,200000,Rajsamand,Sustainable agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Agritech,2021,2018,Mtg ventures
Boat,Undisclosed,6000000,New delhi,Boat is a consumer electronics and lifestyle company.,Electronics,2021,2016,Qualcomm ventures
Trunativ,Seed,0,Mumbai,Trunativ foods & beverages pvt ltd,Food and Beverages,2021,2019,9unicorns
Ibus,Undisclosed,21000000,Bangalore,Ibus networks is an in-building connectivity solutions company,Telecommuncation,2021,2010,Morgan stanley
Puresh daily,Seed,100000,Ranchi,Pureandfres-milk delivers fresh milk directly from its farm to home. fresh milk without any trace of chemicals is packed and sealed in glass bottle.,Milk startup,2021,2019,Alfa ventures
Learnvern,Undisclosed,1000000,Ahmadabad,Learnvern.com is a training portal where anyone can learn any course in vernacular languages for free.,Edtech,2021,2016,
Limechat,Seed,7500000,"Faridabad, haryana",Limechat provides a personalised shopping experience for d2c companies on chat platforms using l3 conversational ai.,AI,2021,2020,Stellaris venture partners
Dybo,Seed,100000,Bangalore,Product visualisation technology for commerce,It,2021,2019,Spanache
Moeving,Seed,1000000,Gurugram,"Delivering clean, cost-effective and efficient mobility solutions.",Logistics,2021,2021,
Wework india,Undisclosed,26000000,Bangalore,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Hospitality,2021,2017,
Solethreads,Series A,1000000,Gurugram,Solethreads is a ‘made in india’ footwear brand that’s creating a flip flop revolution.,Fashion,2021,2018,Dsg consumer partners
Beldara,Undisclosed,7400000,Mumbai,"Beldara.com is a global b2b marketplace, enables businesses to sell worldwide.",E-commerce,2021,2018,Hindustan media ventures
Credflow,Seed,2000000,New delhi,Credflow provides financial solutions to automate your cashflows.,Fintech,2021,2020,Stellaris venture partners
Do your thng,Undisclosed,1500000,Gurugram,World's first shared economy platform for digital assets.,Marketing,2021,2018,Angelbay holdings
Oye rickshaw,Undisclosed,3000000,Gurugram,Oye rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,Transportation,2021,2017,Alteria capital
Legitquest,Undisclosed,600000,New delhi,Legitquest is a legal-tech company that operates a legal research platform with indian case laws.,Legaltech,2021,2017,Waterbridge ventures
Swiggy,Undisclosed,800000000,Bangalore,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,Food delivery,2021,2014,Carmignac
Antwak,Seed,0,Bangalore,Antwak provides a video platform for e-learning service.,Edtech,2021,2019,Vaibhav domkundwar
Playshifu,Series B,17000000,Bangalore,Playshifu is an edtech startup that offers teaching/learning tools for kids (4-12 years of age).,Edtech,2021,2016,Chiratae ventures
Pitstop,Series B,3500000,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Automotive,2021,2015,Acko technology
Lendingkart,Debt,15000000,Gujarat,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with working capital loans.,Fintech,2021,1999,Bertelsmann india investments
Cred,Series D,215000000,Bangalore,Cred is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Fintech,2021,2018,Dragoneer investment group
Karnival,Seed,2500000,Bangalore,A saas platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Saas,2021,2015,100x.vc
Pharmeasy,Series D,350000000,Mumbai,"Pharmeasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.",Healthtech,2021,2015,Tpg growth
Wess,Seed,2000000,Mumbai,Waaree is india's largest solar module manufacturer & fastest growing epc company with presence across 68 countries.,Renewable energy,2021,1989,Centrum financial services
Shopse,Undisclosed,5500000,Mumbai,Make purchases online or at neighborhood store in easy emis through shopse.,Fintech,2021,2020,Chiratae ventures
Fantasy akhada,Undisclosed,600000,Gurugram,Fantasy akhada offers fantasy sports platform for cricket and football.,Fantasy sports,2021,2020,Harsha bhogle
Rage coffee,Series B,0,New delhi,Rage coffee is infused with plant based vitamins. these 100% natural extracts are typically found in foods.,Food and Beverages,2021,2018,Getvantage
Groww,Series D,83000000,Bangalore,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,Fintech,2021,2017,Tiger global management
Avanti finance,Series A,26000000,Bangalore,Avanti finance lends relatively large but trust-based loans without formal credit footprint.,Fintech,2021,2016,Michael & susan dell foundation
Kudos,Series B,0,Pune,"Kudos is a full stack nbfc, a digital lending engine with an in-built api lending protocol layer of over 20+ api’s.",Fintech,2021,2014,Marquee fintech founders
Ofbusiness,Undisclosed,110000000,Gurugram,Ofbusiness is a financing platform that offers smart financing to smes.,Fintech,2021,2015,Falcon edge india
Superpro.ai,Seed,3000000,Bangalore,Enabling independent professionals to bring offline consulting online with ai,Video communication,2021,2019,Sosv
Sharechat,Undisclosed,500000000,Bangalore,Sharechat is a social networking and regional content platform.,Social media,2021,2015,Twitter ventures
Wit-ace,Seed,1000000,Gurugram,"Offer accelerated career experiences for women by enabling, engaging & employing them to be in decision making roles.",Skill development,2021,2020,Citiustech
Spinny,Series C,65000000,Gurugram,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,Retail,2021,2015,Arena holdings
Alteria capital,Debt,1.5E+11,Mumbai,Alteria capital is a venture debt firm .,Fintech,2021,2018,
Safexpay,Undisclosed,6000000,Thane,Safexpay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,Fintech,2021,2017,T choithrams bvi
Pumpumpum,Series B,700000,Gurugram,Pumpumpum is a car rental company.,Rental,2021,2018,Kogta financial india limited
Speciale invest,Undisclosed,10000000,Bangalore,Speciale invest is an early stage investor focusing on tech-driven/deep-tech ventures.,Fintech,2021,2017,
Eunimart,Series B,700000,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,E-commerce,2021,2016,Sucseed venture partners
Meesho,Undisclosed,300000000,Bangalore,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,E-commerce,2021,2015,Saif partners
Careerlabs,Undisclosed,2200000,Bangalore,"Aim to help students become future-ready, setting them on a path to success that suits them best.",Edtech,2021,2019,Global founders capital
Uable,Series B,35000000,Bangalore,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Edtech,2021,2020,Jafco asia
Zoko,Seed,140000000,Bangalore,"Zoko makes it easy for businesses to do sales, marketing & customer support on whatsapp.",Tech startup,2021,2016,Y combinator
Getwork,Seed,200000,Gurugram,Getwork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Recruitment,2021,2019,Artha venture fund
Easebuzz,Series A,4000000,Pune,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,E-commerce,2021,2015,Jitendra gupta
Chingari,Undisclosed,13000000,Bangalore,Chingari operates as a short video platform.,Social media,2021,2018,Fj labs
Dusminute,Series B,1100000,Bangalore,Dusminute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Retail,2021,2017,Indian angel network
Onsurity,Undisclosed,0,Bangalore,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,Healthcare,2021,2020,Jitendra gupta
Karbon card,Undisclosed,0,Bangalore,Prime objective is to empower indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,Fintech,2021,2019,Y combinator
Factors.ai,Undisclosed,2000000,Bangalore,"Factors.ai is a marketing analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for marketers",Saas,2021,2020,Elevation partners
Elevar,Undisclosed,2000000,Mumbai,"A revolutionary sports brand, engineered for those who want more.",Sports,2021,2017,Kalaari capital
